序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,週票數變動率,累計銷售票數,累計銷售金額(萬),count
67,法國,天才貓奴畫家,2021/12/3,薩摩亞商雄讚股份有限公司台灣分公司,STUDIOCANAL S.A.S.,6,-0.62%,8553,185.6446,1
68,南韓,獵魂者,2021/12/3,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,K-Movie Entertainment,2,21.74%,8832,196.747,1
69,美國,魔法滿屋,2021/11/26,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",41,5.09%,112256,2638.2308,1
70,日本,偶然與想像,2021/11/26,東昊影業有限公司,m-appeal,8,-34.07%,15157,356.5339,1
71,美國,惡靈古堡首部曲：拉昆市,2021/11/26,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,46,-50.67%,196577,4817.7623,1
72,日本,沒說出口的殺人告白,2021/11/26,鴻聯國際開發股份有限公司,KADOKAWA CORPORATION,1,0.00%,1034,22.9259,1
73,中華民國,月老,2021/11/24,麻吉砥加電影有限公司,"麻吉砥加電影有限公司,禾豐九路娛樂有限公司,良人行影業有限公司,居爾一拳有限公司,樂到家國際娛樂股份有限公司,聚星文創娛樂事業股份有限公司,國賓影城股份有限公司,能率影業股份有限公司,HIVE FILMWORKS INC.",98,-57.50%,1086320,26368.0204,1
74,中華民國,青春弒戀,2021/11/19,長龢有限公司,"風度國際有限公司,中環國際娛樂事業股份有限公司,長龢有限公司,阿榮影業股份有限公司,台北市電影委員會,星泰國際娛樂股份有限公司,菊地健興業有限公司,天使放大股份有限公司,齊石傳播有限公司",4,-18.42%,16067,387.1636,1
75,香港,梅艷芳,2021/11/12,美商台灣索尼影業發行股份有限公司台灣分公司,"安樂影片有限公司,萬誘引力乙有限公司,天下一電影製作有限公司,華夏電影發行有限責任公司,電訊盈科媒體有限公司",4,-87.06%,42747,1008.8494,1
76,日本,刀劍神域劇場版 –Progressive- 無星夜的詠嘆調,2021/11/12,木棉花國際股份有限公司,Aniplex Inc.,12,-98.43%,131224,3473.1016,1
77,日本,嵐 5x20演唱會電影～回憶全記錄～,2021/11/5,大鴻藝術股份有限公司,J Storm,1,104.76%,16972,712.0155,1
78,美國,永恆族,2021/11/3,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",27,-27.57%,980835,25827.207,1
79,中華民國,瀑布,2021/10/29,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",23,-59.12%,154583,3643.3078,1
80,美國,天兵阿榮,2021/10/29,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",4,-15.58%,30200,682.2378,1
81,美國,爽賺姐妹,2021/10/22,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS,LLC",3,0.00%,1297,25.4136,1
82,美國,最後的決鬥,2021/10/15,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",5,12.00%,16326,371.6096,1
83,美國,猛毒2：血蜘蛛,2021/10/13,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,-76.80%,609495,15454.1642,1
84,中華民國,鱷魚,2021/10/8,滿滿額娛樂股份有限公司,"滿滿額娛樂股份有限公司,鹿路電影有限公司,台灣大哥大myVideo,中環國際娛樂事業股份有限公司,華映娛樂股份有限公司,台北真好電影股份有限公司,中台興化學工業股份有限公司,崴森管理顧問股份有限公司,高雄市電影館",2,-64.71%,11941,276.2617,1
85,斯洛伐克,逃出奧斯威辛,2021/10/1,捷傑有限公司,Beta Cinema GmbH,1,-21.18%,2392,49.1973,1
86,美國,異類崛起,2021/9/24,原創娛樂股份有限公司,Vertical Entertainment,2,0.00%,440,5.4118,1
87,美國,沙丘,2021/9/16,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,8,103.77%,556535,15378.6663,1
88,美國,疾厄,2021/9/2,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,-64.71%,34282,830.4707,1
89,日本,青春電幻物語：數位修復版,2021/4/1,光年映畫有限公司,Rockwell Eyes Inc.,2,-100.00%,4498,104.0053,1
90,日本,《少女與戰車 最終章》第1+2話,2020/10/7,華藝娛樂股份有限公司,Hakuhodo DY music & pictures Inc.,1,-100.00%,9214,424.9453,1
91,不丹,不丹是教室,2020/7/10,海鵬影業有限公司,HX Investment (HK) Limited,6,-4.00%,36280,759.6963,1
92,泰國,波米叔叔的前世今生,2010/11/26,傳影互動股份有限公司,The Match Factory GmbH,2,133.33%,368,7.9096,1
93,英國,波西米亞人,2022/2/10,威秀影城股份有限公司,Trafalgar Releasing Limited,6,0.00%,24,1.708,1
94,英國,曼儂‧雷斯科,2022/2/10,威秀影城股份有限公司,Trafalgar Releasing Limited,5,240.00%,22,1.52,1
95,南韓,亡命陷阱,2022/1/28,水元素文化傳媒有限公司,"kt alpha Co.,Ltd.",9,-96.67%,695,16.4651,1
96,美國,355：諜影特攻,2022/1/19,車庫娛樂股份有限公司,RELAY MOTION KFT.,60,-91.50%,29045,697.8444,1
97,美國,驚聲尖叫,2022/1/14,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,91,-90.53%,26201,631.7103,1
98,中國大陸,第一爐香,2022/1/14,影一製作所股份有限公司,"上海阿里巴巴影業有限公司,和和（上海）影業有限公司,青鳥影業(上海)有限公司,東台壹尺文化傳媒有限公司,北京星魅力影視文化傳媒集團有限公司,北京影窩文化傳媒有限公司,北京力禾欣文化傳媒有限公司,上海樂朝程影視傳媒有限公司,峨眉電影集團有限公司,桃河影業(北京)有限公司",20,-61.97%,4096,98.0173,1
99,俄羅斯,致命最前線,2022/1/14,可樂藝術文創股份有限公司,Central Partnership Sales House,30,-75.00%,3738,85.6539,1
100,中華民國,尋找神話之鳥,2021/12/17,采昌國際多媒體股份有限公司,鴻奇文化事業有限公司,21,0.00%,10770,229.6119,1
101,日本,《少女與戰車 最終章》 第3話,2021/11/19,華藝娛樂股份有限公司,Hakuhodo DY music & Pictures Inc.,5,-100.00%,7050,288.972,1
102,中華民國,老鷹之手,2021/10/29,海之眼影像工作室,海之眼影像工作室,1,0.00%,6397,144.501,1
103,南韓,金派特務,2021/10/29,威視股份有限公司,"KT HITEL CO.,LTD.",4,-59.52%,12405,269.8531,1
104,美國,汪汪隊立大功電影版,2021/9/17,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,1,-95.45%,72747,1743.6393,1
105,美國,路卡的夏天,2021/8/6,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",2,-47.62%,46564,1052.7638,1
106,中華民國,聽見歌 再唱,2021/4/16,美商華納兄弟（遠東）股份有限公司台灣分公司,"美商華納兄弟(遠東)股份有限公司台灣分公司,香港商福斯傳媒有限公司台灣分公司,海樂影業股份有限公司,有得電影有限公司,高雄人,十三月股份有限公司",4,-82.61%,365350,8439.8474,1
107,日本,睡著也好醒來也罷,2018/9/21,東昊影業有限公司,(法國)MK2,1,-51.00%,1868,41.6931,1
108,美國,哈利波特：神秘的魔法石,2001/11/16,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,6,-70.00%,20258,760.7265,1
109,加拿大,他奶奶的變裝皇后,2022/1/21,天馬行空數位有限公司,WIDE,10,-90.70%,301,6.449,1
110,南韓,無人之境,2022/1/21,車庫娛樂股份有限公司,"KT HITEL CO.,LTD.",4,-70.97%,406,9.6045,1
