序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,週票數變動率,累計銷售票數,累計銷售金額(萬),count
154,法國,夏日之戀,2016/12/23,東昊影業有限公司,MK2 Films,4,-42.86%,578,12.257,1
155,法國,四百擊,2016/12/23,台灣電影文化協會,法國在台協會,5,-50.00%,896,18.8615,1
156,美國,魔境夢遊：時光怪客,2016/7/25,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",13,-88.70%,244901,5808.3123,1
157,英國,超速性追緝,1996/10/25,香港商甲上娛樂有限公司台灣分公司,HANWAY FILMS LIMITED,1,400.00%,974,20.2443,1
158,香港,出租女友,2022/1/14,英屬維京群島商映畫聯合有限公司台灣分公司,"UP TV 娛樂,中國創意數碼娛樂有限公司,hmvod,培生培心公司",4,-68.42%,25,0.547,1
159,德國,鄰危不亂,2022/1/7,本萃電影有限公司,Beta Cinema GmbH,11,-85.50%,565,11.8344,1
160,美國,不可侵犯：溫斯坦性醜聞,2022/1/7,車庫娛樂股份有限公司,EMBANKMENT FILMS LIMITED,4,-100.00%,48,1.127,1
161,日本,劇場版信號：長期未解決事件搜查班,2021/12/30,車庫娛樂股份有限公司,FUJI CREATIVE CORPORATION,13,-72.50%,776,18.6035,1
162,德國,騎趣環世界,2021/12/30,聯影企業股份有限公司,Busch Medie Group GmbH & Co. KG,5,-84.78%,327,6.7375,1
163,中華民國,不想一個人,2021/12/24,一條龍虎豹國際娛樂有限公司,"波谷影片有限公司,一條龍虎豹國際娛樂有限公司,上海啟李廣告有限公司,捌捌玖電影股份有限公司",18,-86.41%,6622,166.6062,1
164,中華民國,高山上的熱氣球,2021/12/22,飛爾創意有限公司,"飛爾創意有限公司,菲博瑞思文創娛樂有限公司",2,0.00%,391,8.241,1
165,中華民國,魔法阿媽 4K數位修復版,2021/11/26,車庫娛樂股份有限公司,稻田電影工作室有限公司,5,156.41%,15109,358.2738,1
166,中華民國,文林銀行,2021/11/12,視納華仁文化傳播股份有限公司,視納華仁文化傳播股份有限公司,2,0.00%,1928,44.2845,1
167,加拿大,親情解鎖,2021/9/17,天馬行空數位有限公司,HANWAY FILMS LIMITED,1,-51.85%,875,14.8481,1
168,俄羅斯,心悸效應,2021/9/10,可樂藝術文創股份有限公司,MAGIC FAIR LLC.,2,-56.52%,1227,16.5342,1
169,英國,裸體午餐,1992/3/14,香港商甲上娛樂有限公司台灣分公司,Hanway Films Limited,1,0.00%,1394,29.011,1
170,南韓,引言,2021/12/24,可樂藝術文創股份有限公司,"FINECUT CO.,LTD.",3,-56.78%,590,12.4775,1
171,英國,愛上費加洛,2021/12/17,中影股份有限公司,WESTEND FILMS LTD,6,-82.69%,1588,34.1269,1
172,日本,電影 K-ON！輕音部,2021/12/17,向洋影業有限公司,"Tokyo Broadcasting System Television,Inc.",12,-86.67%,3241,82.0698,1
173,日本,電影版 狂賭之淵2：絕體絕命俄羅斯輪盤,2021/12/17,車庫娛樂股份有限公司,RELAY MOTION KFT.,6,-77.78%,1075,26.0067,1
174,日本,Fate/Grand Order -終局特異點 冠位時間神殿所羅門-,2021/11/26,曼迪傳播有限公司,Aniplex Inc.,4,-23.53%,21289,535.9779,1
175,日本,我讓最想被擁抱的男人給威脅了 劇場版～西班牙篇～,2021/11/23,木棉花國際股份有限公司,Aniplex Inc.,6,-72.00%,14936,369.7863,1
176,中華民國,廢棄之城,2021/10/29,影一製作所股份有限公司,"影一製作所股份有限公司,遊戲橘子數位科技股份有限公司,財團法人臺中市影視發展基金會",1,0.00%,6268,145.673,1
177,中華民國,回眸,2021/10/22,牽猴子股份有限公司,"大悲學苑  台灣大悲佛學會,財團法人國際佛教法林基金會 ,新加坡甘露關懷協會",1,0.00%,6025,135.1424,1
178,中華民國,17歲的天空 4K數位修復版,2021/10/2,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,三和娛樂國際有限公司,1,0.00%,926,21.0498,1
179,英國,算牌手,2021/9/17,薩摩亞商雄讚股份有限公司台灣分公司,HANWAY FILMS LIMITED,4,-82.05%,2609,46.688,1
180,美國,密弒遊戲2：勝者危亡,2021/9/17,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,-59.70%,35520,832.1112,1
181,美國,暫時停止呼吸2,2021/8/20,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,2,-70.37%,31538,750.9672,1
182,美國,厲陰宅3：是惡魔逼我的,2021/7/22,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,-48.72%,54963,1372.8131,1
183,美國,夢想之地,2021/4/23,傳影互動股份有限公司,A24 International LLC,1,-70.59%,21473,477.1628,1
184,英國,末代皇帝,1988/4/23,香港商甲上娛樂有限公司台灣分公司,Hanway Films Limited,1,0.00%,54427,1345.8891,1
185,日本,四季拉麵物語,2021/12/24,天馬行空數位有限公司,MAGNETFILM GmbH.,10,-78.04%,674,14.1279,1
