序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,週票數變動率,累計銷售票數,累計銷售金額
128,日本,燕尾蝶：數位經典版,2021/7/14,光年映畫有限公司,PONY CANYON INC.,1,0.00%,"1,595","345,981"
129,日本,歡樂時光(0409),2021/4/9,東昊影業有限公司,Neopa Inc,1,-49.44%,"1,157","258,490"
130,日本,歡樂時光(0326),2021/3/26,東昊影業有限公司,Neopa Inc,1,-50.00%,"1,330","321,777"
131,香港,G風暴,2020/1/30,華映娛樂股份有限公司,東方影業出品有限公司,30,-82.98%,"3,667","860,259"
132,美國,我記得,2015/12/4,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"DISTANT HORIZON LTD.,IM GLOBAL,LLC.",1,0.00%,175,"35,000"
133,南韓,無間對決,2022/1/14,車庫娛樂股份有限公司,RELAY MOTION KFT.,44,-93.60%,"6,888","1,627,590"
134,中華民國,修行,2022/1/14,老灰狼影片製作有限公司,老灰狼影片製作有限公司,16,-94.15%,"1,943","428,169"
135,中華民國,沒有人該成為孤島,2022/1/7,華映娛樂股份有限公司,財團法人彩晶文教基金會,13,-100.00%,"5,533","1,265,024"
136,美國,看不見的殺機,2022/1/7,采昌國際多媒體股份有限公司,Elle Driver,36,-100.00%,"3,989","915,242"
137,日本,寶可夢：皮卡丘與可可的冒險,2021/12/10,曼迪傳播有限公司,The Pok?mon Company,18,-39.13%,"17,287","3,873,608"
138,日本,我的英雄學院劇場版：世界英雄任務,2021/10/29,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co.,Ltd.",5,-65.22%,"63,259","16,169,660"
139,日本,紫羅蘭永恆花園電影版,2020/9/30,采昌國際多媒體股份有限公司,"ABC Animation,INC.",1,0.00%,"111,065","27,746,929"
140,法國,最後地下鐵,2016/12/23,東昊影業有限公司,MK2 Films,5,-97.87%,535,"110,300"
141,挪威,忍者寶寶,2022/1/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Trustnordisk APS,10,-80.00%,337,"71,180"
142,美國,終極狩獵團,2022/1/14,車庫娛樂股份有限公司,RELAY MOTION KFT.,19,-90.10%,563,"129,734"
143,法國,天堂計劃,2022/1/7,天馬行空數位有限公司,Playtime,15,-77.33%,"1,209","257,603"
144,美國,危城行動,2022/1/7,車庫娛樂股份有限公司,RELAY MOTION KFT.,38,-86.79%,"1,716","380,927"
145,德國,人性遊戲,2022/1/7,友璽影音股份有限公司,KARNAVAS-KONTOVRAKIS KAI SIA OE/Heretic,4,-95.24%,183,"38,930"
146,南韓,緣來大飯店,2021/12/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,47,-65.91%,"7,882","1,903,111"
147,中國大陸,郊區的鳥,2021/12/25,前景娛樂有限公司,"北京果實創想影視文化有限公司,上海魁颯影業有限公司",10,-86.21%,187,"43,781"
148,日本,GIVEN~被贈與的未來 劇場版：反面的存在,2021/12/9,水元素文化傳媒有限公司,SPO Entertainment Inc.,16,-84.85%,"6,208","997,140"
149,丹麥,《爆裂戰警》,2021/12/3,光年映畫有限公司,CHARADES,2,-77.53%,"1,634","320,561"
150,法國,破碎的琴鍵,2021/11/26,天馬行空數位有限公司,INDIE SALES COMPANY,1,-55.36%,661,"126,775"
151,日本,超慄方殺陣,2021/11/19,原創娛樂股份有限公司,"Shochiku Co.,Ltd.",1,-44.74%,"3,196","752,286"
152,日本,假面飯店2：假面之夜,2021/10/28,英屬維京群島商高捷全球開發有限公司 台灣分公司,"PONY CANYON,INC.",3,-58.94%,"12,250","2,812,435"
153,香港,怒火,2021/10/22,華映娛樂股份有限公司,"英皇影業有限公司,騰訊影業文化傳播有限公司,銀都機構有限公司,香港騰訊影業有限公司,天津貓眼微影文化傳媒有限公司,超級子彈影業有限公司,天下一電影製作有限公司,華文映像(北京)影業有限公司",6,-54.90%,"22,136","4,960,649"
154,法國,夏日之戀,2016/12/23,東昊影業有限公司,MK2 Films,4,-42.86%,578,"122,570"
155,法國,四百擊,2016/12/23,台灣電影文化協會,法國在台協會,5,-50.00%,896,"188,615"
156,美國,魔境夢遊：時光怪客,2016/7/25,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",13,-88.70%,"244,901","58,083,123"
157,英國,超速性追緝,1996/10/25,香港商甲上娛樂有限公司台灣分公司,HANWAY FILMS LIMITED,1,400.00%,974,"202,443"
158,香港,出租女友,2022/1/14,英屬維京群島商映畫聯合有限公司台灣分公司,"UP TV 娛樂,中國創意數碼娛樂有限公司,hmvod,培生培心公司",4,-68.42%,25,"5,470"
159,德國,鄰危不亂,2022/1/7,本萃電影有限公司,Beta Cinema GmbH,11,-85.50%,565,"118,344"
160,美國,不可侵犯：溫斯坦性醜聞,2022/1/7,車庫娛樂股份有限公司,EMBANKMENT FILMS LIMITED,4,-100.00%,48,"11,270"
161,日本,劇場版信號：長期未解決事件搜查班,2021/12/30,車庫娛樂股份有限公司,FUJI CREATIVE CORPORATION,13,-72.50%,776,"186,035"
162,德國,騎趣環世界,2021/12/30,聯影企業股份有限公司,Busch Medie Group GmbH & Co. KG,5,-84.78%,327,"67,375"
163,中華民國,不想一個人,2021/12/24,一條龍虎豹國際娛樂有限公司,"波谷影片有限公司,一條龍虎豹國際娛樂有限公司,上海啟李廣告有限公司,捌捌玖電影股份有限公司",18,-86.41%,"6,622","1,666,062"
164,中華民國,高山上的熱氣球,2021/12/22,飛爾創意有限公司,"飛爾創意有限公司,菲博瑞思文創娛樂有限公司",2,0.00%,391,"82,410"
165,中華民國,魔法阿媽 4K數位修復版,2021/11/26,車庫娛樂股份有限公司,稻田電影工作室有限公司,5,156.41%,"15,109","3,582,738"
166,中華民國,文林銀行,2021/11/12,視納華仁文化傳播股份有限公司,視納華仁文化傳播股份有限公司,2,0.00%,"1,928","442,845"
167,加拿大,親情解鎖,2021/9/17,天馬行空數位有限公司,HANWAY FILMS LIMITED,1,-51.85%,875,"148,481"
168,俄羅斯,心悸效應,2021/9/10,可樂藝術文創股份有限公司,MAGIC FAIR LLC.,2,-56.52%,"1,227","165,342"
169,英國,裸體午餐,1992/3/14,香港商甲上娛樂有限公司台灣分公司,Hanway Films Limited,1,0.00%,"1,394","290,110"
170,南韓,引言,2021/12/24,可樂藝術文創股份有限公司,"FINECUT CO.,LTD.",3,-56.78%,590,"124,775"
171,英國,愛上費加洛,2021/12/17,中影股份有限公司,WESTEND FILMS LTD,6,-82.69%,"1,588","341,269"
172,日本,電影 K-ON！輕音部,2021/12/17,向洋影業有限公司,"Tokyo Broadcasting System Television,Inc.",12,-86.67%,"3,241","820,698"
173,日本,電影版 狂賭之淵2：絕體絕命俄羅斯輪盤,2021/12/17,車庫娛樂股份有限公司,RELAY MOTION KFT.,6,-77.78%,"1,075","260,067"
174,日本,Fate/Grand Order -終局特異點 冠位時間神殿所羅門-,2021/11/26,曼迪傳播有限公司,Aniplex Inc.,4,-23.53%,"21,289","5,359,779"
175,日本,我讓最想被擁抱的男人給威脅了 劇場版～西班牙篇～,2021/11/23,木棉花國際股份有限公司,Aniplex Inc.,6,-72.00%,"14,936","3,697,863"
176,中華民國,廢棄之城,2021/10/29,影一製作所股份有限公司,"影一製作所股份有限公司,遊戲橘子數位科技股份有限公司,財團法人臺中市影視發展基金會",1,0.00%,"6,268","1,456,730"
177,中華民國,回眸,2021/10/22,牽猴子股份有限公司,"大悲學苑  台灣大悲佛學會,財團法人國際佛教法林基金會 ,新加坡甘露關懷協會",1,0.00%,"6,025","1,351,424"
178,中華民國,17歲的天空 4K數位修復版,2021/10/2,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,三和娛樂國際有限公司,1,0.00%,926,"210,498"
179,英國,算牌手,2021/9/17,薩摩亞商雄讚股份有限公司台灣分公司,HANWAY FILMS LIMITED,4,-82.05%,"2,609","466,880"
